TS,D49729,Solarwinds,Corp,01/02/2018,software,"$222.00 ","Annual maintenance renewal for Dameware mini remote",
AC,D49730,"apple store",Corp,01/03/2018,Software,"$99.90 ","10 Bluebeam license for iPad",
AC,D49731,amazon.com,17-0503,01/04/2018,Miscellaneous,"$45.99 ","replacement laptop battery - Joe Rosa",
TS,D49732,Amazon.com,17-0422,01/04/2018,Miscellaneous,"$129.95 ","300' Sheilded outdoor cat6 cable RETURNED Credit processed 1/15/17",
SH,D49733,Amazon.com,"Corporate inventory",01/04/2018,Miscellaneous,"$167.87 ","Cables, Keyboards, mouse pad",
TS,D49734,Amazon.com,Corp,01/05/2018,Server,"$8.99 ","mounting adjustment bracket",
AC,D49735,amazon.com,Reno,01/08/2018,Miscellaneous,"$76.94 ","Otterbox deffender and utility latch for Arnolf Garcia",
TS,D49736,Amazon.com,18-0743,01/08/2018,Miscellaneous,"$25.99 ","Bluetooth keyboard/mouse",
TS,D49737,SHI," 18-0743, sumner",01/08/2018,"Computer (Laptop, Desktop or Tablet)","$2,103.11 ","Desktop with warranty for Panel station, 2 desktop for sumner",
TS,D49738,SHI,18-0740,01/08/2018,"Computer (Laptop, Desktop or Tablet)","$1,192.85 ","Laptop, warranty for new Sumner warehouse manager",
AC,D49739,amazon.com,17-0600,01/08/2018,Miscellaneous,"$378.72 ","2 monitors for Mark Parker",
TS,D49740,SHI,"PDX Safety",01/09/2018,"Computer (Laptop, Desktop or Tablet)","$2,076.92 ","Surface Pro with dock, case, type cover, case, warranty",
TS,D49741,SHI,"Corp IT",01/09/2018,"Computer (Laptop, Desktop or Tablet)","$2,048.98 ","T470s with dock and warranty",
TS,D49742,Amazon.com,17-0422,19/01/2018,Miscellaneous,"$91.91 ","300' shielded cat6 cable",
AC,D49743,amazon.com,17-0600,01/10/2018,Miscellaneous,"$391.97 ","Euquipments like TV, mount, cables for the job 17-0600",
AC,D49744,amazon.com,17-0690,01/10/2018,Miscellaneous,"$178.97 ","Printer and toner for Allen Pray",
AC,D49745,amazon.com,17-0596,01/10/2018,Miscellaneous,"$22.00 ","S7 deffender case for Jeff Hitchcock",
JM,D49746,Amazon.com,"Sumner office",01/11/2018,Network,"$809.80 ","Cisco Catalyst 3650 stacking hardware for Sumner relocation",
TS,D49747,SHI,17-0606,01/12/2018,"Computer (Laptop, Desktop or Tablet)","$1,427.16 ","t570 laptop with ram and 3 yr accidental damage warranty for Randy Bryant",
AC,D49748,amazon.com,Sumner,01/12/2018,Miscellaneous,"$38.24 ","Ipad keyboard case for Megan Boatman",
AC,D49749,amazon.com,Corp,01/12/2018,Miscellaneous,"$71.99 ","Logitech speakers for Angela Roach",
MM,D49750,Bridgetech,"Corp / PDX / Seattle",12/04/2017,"software subscription","$5,345.85 ","Office 365 subscription November and WAN optimization for Wilsonville / Sumner",
MM,D49751,Techsmith,Corp,13/12/2017,software,"$199.00 ","Camtasia software for James Martini",
MM,D49752,Bridgetech,"Corp / PDX / Seattle",15/12/2017,"software subscription","$5,345.85 ","Office 365 subscription November and WAN optimization for Wilsonville / Sumner",
AC,D49753,amazon.com,17-0426,1/15/2018,Miscellaneous,"$60.06 ","USB display link Plugable for Steve Wilkins",
